"DISTRICTCODE","Nama Kabupaten","latitude","longitude"
"1101","KABUPATEN SIMEULUE","2.583333","96.083333"
"1102","KABUPATEN ACEH SINGKIL","2.3589458999999997","97.87216"
"1103","KABUPATEN ACEH SELATAN","3.3115056000000003","97.3516558"
"1104","KABUPATEN ACEH TENGGARA","3.3088665999999995","97.6982272"
"1105","KABUPATEN ACEH TIMUR","5.255443","95.9885456"
"1106","KABUPATEN ACEH TENGAH","4.448264099999999","96.8350999"
"1107","KABUPATEN ACEH BARAT","4.4542745","96.1526985"
"1108","KABUPATEN ACEH BESAR","5.4529168","95.4777811"
"1109","KABUPATEN PIDIE","5.0742659","95.94097099999999"
"1110","KABUPATEN BIREUEN","5.18254","96.89005"
"1111","KABUPATEN ACEH UTARA","4.9786331","97.2221421"
"1112","KABUPATEN ACEH BARAT DAYA","3.0512642999999997","97.3368031"
"1113","KABUPATEN GAYO LUES","3.955165","97.3516558"
"1114","KABUPATEN ACEH TAMIANG","4.2328871","98.0028892"
"1115","KABUPATEN NAGAN RAYA","4.124840600000001","96.4929797"
"1116","KABUPATEN ACEH JAYA","4.7873684","95.64579509999999"
"1117","KABUPATEN BENER MERIAH","4.7748348","97.0068393"
"1118","KABUPATEN PIDIE JAYA","5.1548063","96.195132"
"1171","KOTA BANDA ACEH","5.55","95.3166667"
"1172","KOTA SABANG","5.894692900000001","95.3192982"
"1173","KOTA LANGSA","4.48","97.9633333"
"1174","KOTA LHOKSEUMAWE","5.188055599999999","97.14027779999999"
"1175","KOTA SUBULUSSALAM","2.6449927000000004","98.0165205"
"1201","KABUPATEN NIAS","-8.1712591","113.7111274"
"1202","KABUPATEN MANDAILING NATAL","0.7432371999999999","99.3673084"
"1203","KABUPATEN TAPANULI SELATAN","1.5774933","99.2785583"
"1204","KABUPATEN TAPANULI TENGAH","1.8493298999999999","98.704075"
"1205","KABUPATEN TAPANULI UTARA","2.0405246","99.10134980000001"
"1206","KABUPATEN TOBA SAMOSIR","2.3502397999999998","99.2785583"
"1207","KABUPATEN LABUHAN BATU","2.26667000","100.10000000"
"1208","KABUPATEN ASAHAN","2.8174722","99.634135"
"1209","KABUPATEN SIMALUNGUN","2.9781612","99.2785583"
"1210","KABUPATEN DAIRI","2.8675801","98.265058"
"1211","KABUPATEN KARO","3.1052909","98.265058"
"1212","KABUPATEN DELI SERDANG","3.4201802000000003","98.704075"
"1213","KABUPATEN LANGKAT","3.8653915999999997","98.3088441"
"1214","KABUPATEN NIAS SELATAN","0.7086091","97.8286368"
"1215","KABUPATEN HUMBANG HASUNDUTAN","2.1988507999999998","98.5721016"
"1216","KABUPATEN PAKPAK BHARAT","2.545786","98.299838"
"1217","KABUPATEN SAMOSIR","2.3502397999999998","99.2785583"
"1218","KABUPATEN SERDANG BEDAGAI","3.3371693999999996","99.0571089"
"1219","KABUPATEN BATU BARA","3.1740979","99.5006143"
"1220","KABUPATEN PADANG LAWAS UTARA","1.5758644","99.634135"
"1221","KABUPATEN PADANG LAWAS","1.5758644","99.634135"
"1222","KABUPATEN LABUHAN BATU SELATAN","1.98300000","100.09760000"
"1223","KABUPATEN LABUHAN BATU UTARA","2.33349000","99.63776000"
"1224","KABUPATEN NIAS UTARA","1.1255278999999998","97.5247243"
"1225","KABUPATEN NIAS BARAT","1.1255278999999998","97.5247243"
"1271","KOTA SIBOLGA","1.7403745","98.7827988"
"1272","KOTA TANJUNG BALAI","2.965122","99.800331"
"1273","KOTA PEMATANG SIANTAR","2.96","99.06"
"1274","KOTA TEBING TINGGI","3.3856205000000004","99.2009815"
"1275","KOTA MEDAN","3.585242","98.6755979"
"1276","KOTA BINJAI","3.594462","98.48224599999999"
"1277","KOTA PADANGSIDIMPUAN","1.3804239999999999","99.273972"
"1278","KOTA GUNUNGSITOLI","1.2819639999999999","97.61594000000001"
"1301","KABUPATEN KEPULAUAN MENTAWAI","-1.426001","98.9245343"
"1302","KABUPATEN PESISIR SELATAN","-1.7223147","100.8903099"
"1303","KABUPATEN SOLOK","-0.803027","100.644402"
"1304","KABUPATEN SIJUNJUNG","-0.6881586","100.997658"
"1305","KABUPATEN TANAH DATAR","-0.4797043","100.57462240000001"
"1306","KABUPATEN PADANG PARIAMAN","-0.5546757","100.2151578"
"1307","KABUPATEN AGAM","-0.22093920000000003","100.17032569999999"
"1308","KABUPATEN LIMA PULUH KOTA","3.168216","99.4187929"
"1309","KABUPATEN PASAMAN","0.1288752","99.79017809999999"
"1310","KABUPATEN SOLOK SELATAN","-1.4157329","101.25237920000001"
"1311","KABUPATEN DHARMASRAYA","-1.1121","101.6158"
"1312","KABUPATEN PASAMAN BARAT","0.2213005","99.634135"
"1371","KOTA PADANG","1.5758644","99.634135"
"1372","KOTA SOLOK","-0.803027","100.644402"
"1373","KOTA SAWAH LUNTO","-0.6810286","100.7763604"
"1374","KOTA PADANG PANJANG","-0.470679","100.4059456"
"1375","KOTA BUKITTINGGI","-0.3055556","100.36916670000001"
"1376","KOTA PAYAKUMBUH","-0.22887","100.632301"
"1377","KOTA PARIAMAN","-0.5546757","100.2151578"
"1401","KABUPATEN KUANTAN SINGINGI","-0.44115959999999993","101.5248055"
"1402","KABUPATEN INDRAGIRI HULU","-0.7361181","102.25479190000001"
"1403","KABUPATEN INDRAGIRI HILIR","-0.1456733","102.989615"
"1404","KABUPATEN PELALAWAN","0.44141499999999995","102.088699"
"1405","KABUPATEN S I A K","-0.789275","113.921327"
"1406","KABUPATEN KAMPAR","0.146671","101.16173559999999"
"1407","KABUPATEN ROKAN HULU","1.0410934","100.439656"
"1408","KABUPATEN BENGKALIS","1.4897221999999999","102.0797222"
"1409","KABUPATEN ROKAN HILIR","1.6463978","100.80000509999999"
"1410","KABUPATEN KEPULAUAN MERANTI","0.9208765","102.6675575"
"1471","KOTA PEKANBARU","0.5333333","101.45"
"1473","KOTA DUMAI","1.61592000","101.49170000"
"1501","KABUPATEN KERINCI","-1.8720467","101.4339148"
"1502","KABUPATEN MERANGIN","-2.1752789","101.9804613"
"1503","KABUPATEN SAROLANGUN","-2.2654937000000004","102.69053259999998"
"1504","KABUPATEN BATANG HARI","-1.7083921999999998","103.0817903"
"1505","KABUPATEN MUARO JAMBI","-1.5966719999999999","103.615799"
"1506","KABUPATEN TANJUNG JABUNG TIMUR","-1.3291598999999998","103.89973"
"1507","KABUPATEN TANJUNG JABUNG BARAT","-1.2332121999999999","103.79844279999999"
"1508","KABUPATEN TEBO","-1.2592999","102.3463875"
"1509","KABUPATEN BUNGO","-1.6401337999999999","101.8891721"
"1571","KOTA JAMBI","-1.5966719999999999","103.615799"
"1572","KOTA SUNGAI PENUH","-2.06314","101.387199"
"1601","KABUPATEN OGAN KOMERING ULU","-4.0283486","104.0072348"
"1602","KABUPATEN OGAN KOMERING ILIR","-3.4559743999999997","105.2194808"
"1603","KABUPATEN MUARA ENIM","-3.6515809999999997","103.770798"
"1604","KABUPATEN LAHAT","-3.7863888999999995","103.5427778"
"1605","KABUPATEN MUSI RAWAS","-2.8625305","102.989615"
"1606","KABUPATEN MUSI BANYUASIN","-2.5442028999999997","103.7289167"
"1607","KABUPATEN BANYU ASIN","-2.6095639","104.7520939"
"1608","KABUPATEN OGAN KOMERING ULU SELATAN","-4.668195099999999","104.0072348"
